mprec,srprec
"0100001","0710004"
"0100002","0100002"
"0100003","0100003"
"0100004","0710008"
"0100005","0710004"
"0100006","0100006"
"0100007","0100007"
"0100008","0710001"
"0100009","0710001"
"0100010","0710017"
"0100011","0710019"
"0100012","0710017"
"0100013","0100013"
"0100014","0710001"
"0100016","0710002"
"0100017","0710002"
"0100018","0100018"
"0100019","0100019"
"0100020","0710009"
"0100021","0100021"
"0100022","0100022"
"0100023","0710005"
"0100024","0710005"
"0100025","0710005"
"0100026","0710006"
"0100027","0710006"
"0100028","0710006"
"0100029","0710006"
"0100030","0100030"
"0100031","0100031"
"0100032","0100032"
"0100033","0710020"
"0100034","0710031"
"0100035","0710032"
"0100036","0710012"
"0100037","0710012"
"0100038","0710020"
"0100039","0710020"
"0100040","0710013"
"0100041","0710018"
"0100042","0710018"
"0100043","0710007"
"0100044","0710010"
"0100045","0710014"
"0100046","0710007"
"0100047","0710007"
"0100048","0710014"
"0100049","0710007"
"0100050","0710010"
"0100051","0710012"
"0100052","0710021"
"0100053","0710002"
"0100054","0710034"
"0100055","0710034"
"0100056","0710041"
"0100057","0710041"
"0100058","0710034"
"0100059","0710034"
"0100060","0710034"
"0100061","0710035"
"0100062","0710022"
"0100063","0710023"
"0100064","0710021"
"0100065","0710021"
"0100066","0710012"
"0100067","0710015"
"0100068","0100068"
"0100069","0710021"
"0100070","0710012"
"0100071","0710024"
"0100072","0710024"
"0100073","0100073"
"0100074","0710021"
"0100075","0710015"
"0100076","0710024"
"0100077","0710033"
"0100078","0100078"
"0100079","0710024"
"0100080","0710041"
"0100081","0710031"
"0100082","0710031"
"0100083","0710042"
"0100084","0710036"
"0100085","0100085"
"0100086","0710023"
"0100087","0710023"
"0100088","0710023"
"0100089","0710036"
"0100090","0710036"
"0100091","0710025"
"0100092","0710002"
"0100093","0710043"
"0100094","0710001"
"0100095","0710044"
"0100096","0710037"
"0100097","0710044"
"0100098","0710025"
"0100099","0710037"
"0100100","0710044"
"0100101","0710044"
"0100102","0710025"
"0100103","0710025"
"0100104","0710026"
"0100105","0710001"
"0100106","0710001"
"0100107","0100107"
"0100108","0710045"
"0100109","0710043"
"0100110","0710043"
"0100111","0710003"
"0100112","0710046"
"0100113","0710046"
"0100114","0710047"
"0100115","0710046"
"0100116","0710046"
"0100117","0710003"
"0100118","0710046"
"0100120","0710008"
"0100121","0100121"
"0100122","0710038"
"0100123","0710038"
"0100124","0710026"
"0100125","0710026"
"0100126","0710027"
"0100127","0710027"
"0100128","0710050"
"0100129","0710028"
"0100130","0710050"
"0100131","0710026"
"0100132","0710055"
"0100133","0710055"
"0100134","0100134"
"0100135","0710055"
"0100136","0710026"
"0100137","0710026"
"0100138","0710055"
"0100139","0710028"
"0100140","0710028"
"0100141","0710028"
"0100142","0710051"
"0100143","0710050"
"0100144","0710051"
"0100145","0710045"
"0100146","0710048"
"0100147","0710048"
"0100148","0710046"
"0100149","0710052"
"0100150","0710051"
"0100151","0710053"
"0100152","0710052"
"0100153","0710051"
"0100154","0710053"
"0100155","0710053"
"0100156","0710004"
"0100157","0710004"
"0100158","0710003"
"0100159","0710011"
"0100160","0710053"
"0100161","0710051"
"0100162","0710011"
"0100163","0710007"
"0100164","0100164"
"0100165","0710020"
"0100166","0100166"
"0100167","0710039"
"0100168","0710032"
"0100169","0710020"
"0100171","0710019"
"0100172","0100172"
"0100173","0100173"
"0100174","0710014"
"0100175","0710015"
"0100176","0710021"
"0100177","0100177"
"0100178","0710002"
"0100179","0710020"
"0100180","0100180"
"0100181","0710043"
"0100182","0710055"
"0100183","0710051"
"0100184","0710053"
"0100185","0710032"
"0100186","0710003"
"0100187","0710043"
"0100188","0710022"
"0100189","0710040"
"0100190","0710022"
"0100191","0100191"
"0100192","0710029"
"0100193","0710029"
"0100194","0710040"
"0100195","0710022"
"0100196","0710022"
"0100197","0710049"
"0100198","0710049"
"0100199","0710012"
"0100200","0710054"
"0100201","0710054"
"0100202","0710054"
"0100203","0710006"
"0100204","0710004"
"0100205","0710004"
"0100206","0100206"
"0100207","0710024"
"0100208","0710045"
"0100209","0710053"
"0100210","0710034"
"0100211","0100211"
"0100212","0710023"
"0100213","0710039"
"0100214","0710003"
"0100215","0100215"
"0100216","0710003"
"0100217","0100217"
"0100218","0710014"
"0100219","0710035"
"0100220","0100220"
"0100221","0710030"
"0100222","0710022"
"0100223","0710030"
"0100224","0100224"
"0100225","0710049"
"0100226","0710016"
"0100227","0710045"
"0100228","0710045"
"0100229","0710045"
"0100230","0710016"
"0100231","0710050"
"0100232","0100232"
"0100233","0710050"
"0100234","0710013"
"0100235","0710050"
"0100236","0100236"
"0100237","0100237"
"0100238","0710031"
"0100239","0710014"
"0100240","0710056"
"0100241","0100241"
"0100242","0710056"
"0100243","0710042"
"0100244","0710042"
"0100245","0710042"
"0100246","0710042"
"0100247","0710042"
"0100248","0710047"
"0100249","0710047"
"0100250","0100250"
"0100251","0710002"
"0100252","0100252"
"0100253","0100253"
"0100254","0710013"
"0100255","0710016"
"0100256","0100256"
"0100257","0710031"
"0100258","0710033"
"0100259","0710024"
"0100260","0710032"
"0100261","0710032"
"0100262","0710023"
"0100263","0710047"
"0100264","0710038"
"0100265","0710047"
"0100266","0710047"
"0100267","0100267"
"0100268","0710055"
"0100269","0710009"
"0100270","0710009"
"0100271","0710009"
"0100272","0100272"
"0110000","0711001"
"0110001","0110001"
"0110002","0711013"
"0110003","0711014"
"0110004","0711017"
"0110005","0711015"
"0110006","0711003"
"0110007","0711002"
"0110008","0711002"
"0110009","0711004"
"0110010","0711002"
"0110011","0711005"
"0110012","0711005"
"0110013","0711002"
"0110014","0711005"
"0110015","0711005"
"0110016","0711002"
"0110017","0711017"
"0110018","0711002"
"0110019","0711009"
"0110020","0711009"
"0110021","0711009"
"0110022","0711018"
"0110023","0711018"
"0110024","0711006"
"0110025","0711009"
"0110026","0711001"
"0110027","0711016"
"0110028","0711019"
"0110029","0711019"
"0110030","0711017"
"0110031","0711017"
"0110032","0711016"
"0110033","0110033"
"0110034","0711007"
"0110035","0110035"
"0110036","0711008"
"0110037","0711006"
"0110038","0711006"
"0110039","0711014"
"0110040","0711014"
"0110041","0711008"
"0110042","0711008"
"0110043","0110043"
"0110044","0711003"
"0110045","0711005"
"0110046","0711010"
"0110047","0711010"
"0110048","0711007"
"0110049","0711011"
"0110050","0110050"
"0110051","0711013"
"0110052","0110052"
"0110053","0711010"
"0110054","0711006"
"0110055","0711006"
"0110056","0711012"
"0110057","0711012"
"0110058","0711015"
"0110059","0711014"
"0110060","0711001"
"0110061","0711001"
"0110062","0711003"
"0110063","0110063"
"0110064","0711005"
"0110065","0711015"
"0110066","0110066"
"0110067","0711015"
"0110068","0711001"
"0110069","0711009"
"0110070","0711008"
"0110071","0711008"
"0110072","0110072"
"0110073","0711004"
"0110075","0711008"
"0110076","0711006"
"0110077","0711003"
"0110078","0110078"
"0110079","0711001"
"0110080","0711014"
"0110081","0711010"
"0110082","0110082"
"0110083","0110083"
"0110084","0711011"
"0110085","0711009"
"0180001","0718001"
"0180002","0718001"
"0180003","0718005"
"0180004","0718002"
"0180005","0718005"
"0180006","0718001"
"0180007","0718003"
"0180008","0718003"
"0180009","0718003"
"0180010","0718001"
"0180011","0718002"
"0180012","0718004"
"0180013","0718002"
"0180014","0718001"
"0180015","0718001"
"0180016","0718002"
"0180017","0180017"
"0180018","0718004"
"0180019","0718004"
"0180020","0718003"
"0180021","0718002"
"0180022","0718004"
"0180023","0718004"
"0180024","0718004"
"0200001","0720007"
"0200002","0720008"
"0200003","0720008"
"0200004","0720008"
"0200005","0720008"
"0200006","0720011"
"0200007","0720011"
"0200008","0720012"
"0200009","0720014"
"0200010","0720015"
"0200011","0720014"
"0200012","0720015"
"0200013","0720012"
"0200014","0720018"
"0200015","0720012"
"0200016","0720012"
"0200017","0720012"
"0200018","0720009"
"0200019","0720009"
"0200020","0720019"
"0200021","0720019"
"0200022","0720019"
"0200023","0720015"
"0200024","0720016"
"0200025","0720015"
"0200026","0720016"
"0200027","0720011"
"0200028","0200028"
"0200029","0720008"
"0200030","0720010"
"0200031","0720010"
"0200032","0720020"
"0200033","0200033"
"0200034","0200034"
"0200035","0720021"
"0200036","0720021"
"0200037","0720005"
"0200038","0720005"
"0200039","0720005"
"0200040","0720005"
"0200041","0720005"
"0200042","0200042"
"0200043","0720013"
"0200044","0720023"
"0200045","0720003"
"0200046","0720003"
"0200047","0720003"
"0200048","0720023"
"0200049","0720003"
"0200050","0720023"
"0200051","0720025"
"0200052","0720025"
"0200053","0720026"
"0200054","0200054"
"0200055","0200055"
"0200056","0720027"
"0200057","0720027"
"0200058","0720011"
"0200059","0720024"
"0200060","0720028"
"0200061","0720029"
"0200062","0720017"
"0200063","0720029"
"0200064","0720029"
"0200065","0720017"
"0200066","0720029"
"0200067","0720029"
"0200068","0720001"
"0200069","0720024"
"0200070","0720029"
"0200071","0720018"
"0200072","0720010"
"0200073","0720006"
"0200074","0720006"
"0200075","0720006"
"0200076","0720006"
"0200077","0720005"
"0200078","0720023"
"0200079","0720026"
"0200080","0720017"
"0200081","0200081"
"0200082","0720027"
"0200083","0720027"
"0200084","0720028"
"0200085","0720028"
"0200086","0720028"
"0200087","0200087"
"0200088","0720022"
"0200089","0720031"
"0200090","0720032"
"0200091","0720033"
"0200092","0720008"
"0200093","0720011"
"0200094","0720033"
"0200095","0720034"
"0200096","0720030"
"0200097","0720030"
"0200098","0720019"
"0200099","0720022"
"0200100","0200100"
"0200101","0200101"
"0200102","0720002"
"0200103","0720002"
"0200104","0720035"
"0200105","0720031"
"0200106","0720034"
"0200107","0720032"
"0200108","0200108"
"0200109","0200109"
"0200110","0720007"
"0200111","0720011"
"0200112","0720012"
"0200113","0720020"
"0200114","0720020"
"0200115","0720025"
"0200116","0720026"
"0200117","0200117"
"0200118","0720004"
"0200119","0720004"
"0200120","0720004"
"0200121","0720016"
"0200122","0720016"
"0200123","0720001"
"0200124","0720001"
"0200125","0720035"
"0200126","0720022"
"0200127","0720019"
"0200128","0720019"
"0200129","0200129"
"0200130","0200130"
"0200131","0720013"
"0200132","0720013"
"0200133","0720026"
"0200134","0200134"
"0200135","0200135"
"0200136","0200136"
"0200137","0720003"
"0200138","0720003"
"0200139","0200139"
"0200140","0720015"
"0200141","0720032"
"0200142","0720007"
"0200143","0720009"
"0200144","0720014"
"0200145","0720010"
"0200146","0200146"
"0200147","0720025"
"0200148","0720013"
"0200149","0720023"
"0200150","0720020"
"0230001","0723001"
"0230002","0723002"
"0230003","0723002"
"0230004","0723003"
"0230005","0723004"
"0230006","0723003"
"0230007","0723004"
"0230008","0723002"
"0230009","0723002"
"0230010","0723001"
"0230011","0723001"
"0230012","0723003"
"0230013","0723003"
"0230014","0723003"
"0250001","0725001"
"0250002","0725004"
"0250003","0250003"
"0250004","0250004"
"0250005","0250005"
"0250006","0250006"
"0250007","0725012"
"0250008","0725005"
"0250009","0250009"
"0250010","0725005"
"0250011","0250011"
"0250012","0250012"
"0250013","0725013"
"0250014","0250014"
"0250015","0725007"
"0250016","0250016"
"0250017","0725012"
"0250018","0250018"
"0250019","0250019"
"0250020","0250020"
"0250021","0725001"
"0250022","0250022"
"0250023","0725015"
"0250024","0725011"
"0250025","0250025"
"0250026","0725011"
"0250027","0725002"
"0250028","0725001"
"0250029","0725001"
"0250030","0725007"
"0250031","0725009"
"0250032","0725008"
"0250033","0725009"
"0250034","0250034"
"0250035","0250035"
"0250036","0725003"
"0250037","0725016"
"0250038","0250038"
"0250039","0725001"
"0250040","0725003"
"0250041","0250041"
"0250042","0725016"
"0250043","0725006"
"0250044","0725006"
"0250045","0725008"
"0250046","0250046"
"0250047","0250047"
"0250048","0725010"
"0250049","0250049"
"0250050","0725010"
"0250051","0250051"
"0250052","0725006"
"0250053","0725014"
"0250054","0725013"
"0250055","0725013"
"0250056","0725014"
"0250057","0725013"
"0250058","0725016"
"0250059","0725016"
"0250060","0725011"
"0250061","0725015"
"0250062","0725004"
"0250063","0725005"
"0250064","0725016"
"0250065","0250065"
"0250066","0725007"
"0250067","0725001"
"0250068","0725002"
"0260001","0726001"
"0260002","0726004"
"0260003","0726002"
"0260004","0726006"
"0260005","0726004"
"0260006","0726001"
"0260007","0726003"
"0260008","0726002"
"0260009","0726004"
"0260010","0726004"
"0260011","0726005"
"0260012","0726005"
"0260013","0726004"
"0260014","0726005"
"0260015","0726002"
"0260016","0726001"
"0260017","0726001"
"0260018","0726003"
"0260019","0726001"
"0260020","0726002"
"0260021","0726002"
"0260022","0726006"
"0300001","0730001"
"0300002","0730001"
"0300003","0300003"
"0300004","0300004"
"0300005","0300005"
"0300006","0730001"
"0300007","0300007"
"0300008","0730002"
"0300009","0730002"
"0300010","0730003"
"0300011","0300011"
"0300012","0730005"
"0300013","0730004"
"0300014","0730004"
"0300015","0730003"
"0300016","0730004"
"0300017","0730004"
"0300018","0730004"
"0300019","0300019"
"0300020","0300020"
"0300021","0730003"
"0300022","0730003"
"0300023","0730003"
"0300024","0730005"
"0300025","0300025"
"0310001","0731001"
"0310002","0731002"
"0310003","0731003"
"0310004","0310004"
"0310005","0731004"
"0310006","0731004"
"0310007","0731002"
"0310008","0731002"
"0310009","0310009"
"0310010","0731002"
"0310011","0731005"
"0310012","0731001"
"0310013","0731001"
"0310014","0731004"
"0310015","0731005"
"0310016","0310016"
"0310017","0731002"
"0310018","0731007"
"0310019","0731004"
"0310020","0731007"
"0310021","0731002"
"0310022","0310022"
"0310023","0310023"
"0310024","0310024"
"0310025","0310025"
"0310026","0731008"
"0310027","0731008"
"0310028","0731008"
"0310029","0731011"
"0310030","0731011"
"0310031","0731009"
"0310032","0731005"
"0310033","0731010"
"0310034","0731010"
"0310035","0731014"
"0310036","0731014"
"0310037","0731014"
"0310038","0731014"
"0310039","0731005"
"0310040","0731015"
"0310041","0731015"
"0310042","0731016"
"0310043","0731016"
"0310044","0731009"
