state,county,precinct,year_min,year_max,elections_n,turnout_slope,turnout_r2,turnout_pval,turnout_trend,support_slope,support_r2,support_pval,support_trend
CA,Sonoma,100134,2024,2024,54,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,100250,2024,2024,57,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,100267,2024,2024,68,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,200029,2024,2024,40,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,200048,2024,2024,62,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,200117,2024,2024,50,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,200121,2024,2024,54,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,200122,2024,2024,48,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,200130,2024,2024,60,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,200136,2024,2024,49,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,200142,2024,2024,65,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,200147,2024,2024,61,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,250047,2024,2024,53,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,250052,2024,2024,45,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,710049,2024,2024,51,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,710050,2024,2024,55,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,710051,2024,2024,54,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,710052,2024,2024,50,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,710053,2024,2024,50,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720011,2024,2024,53,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720012,2024,2024,50,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720013,2024,2024,57,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720014,2024,2024,41,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720015,2024,2024,58,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720016,2024,2024,51,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720017,2024,2024,66,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720018,2024,2024,50,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720019,2024,2024,56,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720020,2024,2024,60,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720021,2024,2024,57,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720022,2024,2024,57,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720023,2024,2024,47,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720024,2024,2024,41,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720025,2024,2024,52,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720026,2024,2024,54,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720027,2024,2024,50,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720028,2024,2024,56,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720029,2024,2024,57,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720030,2024,2024,64,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725001,2024,2024,46,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725002,2024,2024,55,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725003,2024,2024,57,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725004,2024,2024,59,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725005,2024,2024,52,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725006,2024,2024,69,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725007,2024,2024,65,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725008,2024,2024,57,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725009,2024,2024,51,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725010,2024,2024,48,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725011,2024,2024,64,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725012,2024,2024,52,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725013,2024,2024,67,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725014,2024,2024,49,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725015,2024,2024,52,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725016,2024,2024,54,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
